Survey ResponseID,Category,Period,Total_Spend
R_037XK72IZBJyF69,DISHWARE_PLATE,baseline,13.98
R_037XK72IZBJyF69,FRUIT,baseline,12.25
R_037XK72IZBJyF69,PET_FOOD,baseline,13.32
R_037XK72IZBJyF69,PET_FOOD,treatment,21.0
R_037XK72IZBJyF69,PLANTER,baseline,13.98
R_037XK72IZBJyF69,SAUCE,baseline,2.49
R_037XK72IZBJyF69,SHOES,baseline,112.54
R_037XK72IZBJyF69,VITAMIN,treatment,18.48
R_06d9ULxrBmkwSTn,SKIN_CLEANING_AGENT,baseline,15.280000000000001
R_06d9ULxrBmkwSTn,SKIN_CLEANING_AGENT,treatment,7.79
R_0Arj0ePpTnReV1v,PET_FOOD,baseline,14.99
R_0BCm9hRP9iTI081,ADHESIVE_TAPES,baseline,11.95
R_0BCm9hRP9iTI081,COFFEE,baseline,14.99
R_0BCm9hRP9iTI081,ELECTRONIC_CABLE,baseline,6.0
R_0BCm9hRP9iTI081,FRUIT,treatment,4.99
R_0BCm9hRP9iTI081,SKIN_CLEANING_AGENT,baseline,8.18
R_0BCm9hRP9iTI081,SUGAR_CANDY,baseline,19.6
R_0BCm9hRP9iTI081,TOILET_PAPER,baseline,11.47
R_0BCm9hRP9iTI081,TOILET_PAPER,treatment,26.45
R_0BCm9hRP9iTI081,VITAMIN,baseline,24.13
R_0BWkZUjRId7FDZn,ELECTRONIC_CABLE,baseline,4.99
R_0D6GtQwa6VcnXpv,CELLULAR_PHONE_CASE,baseline,23.98
R_0D6GtQwa6VcnXpv,ELECTRONIC_CABLE,baseline,13.34
R_0D6GtQwa6VcnXpv,TOILET_PAPER,treatment,27.93
R_0D6GtQwa6VcnXpv,VITAMIN,baseline,9.99
R_0DoXqOQl0hxEeFH,CELLULAR_PHONE_CASE,baseline,7.99
R_0DoXqOQl0hxEeFH,PET_FOOD,baseline,88.06
R_0DoXqOQl0hxEeFH,PET_FOOD,treatment,58.959999999999994
R_0DoXqOQl0hxEeFH,SAUCE,treatment,21.98
R_0DoXqOQl0hxEeFH,SHIRT,treatment,5.33
R_0DoXqOQl0hxEeFH,SKIN_CLEANING_AGENT,baseline,3.39
R_0DoXqOQl0hxEeFH,SKIN_CLEANING_AGENT,treatment,5.88
R_0Hzrb8hEmXavTk5,PET_FOOD,baseline,38.379999999999995
R_0Hzrb8hEmXavTk5,PET_FOOD,treatment,53.4
R_0Hzrb8hEmXavTk5,SHIRT,baseline,17.99
R_0Hzrb8hEmXavTk5,SKIN_CLEANING_AGENT,baseline,3.88
R_0IBgnbXoP4Uvvhv,ADHESIVE_TAPES,treatment,19.61
R_0IBgnbXoP4Uvvhv,PET_FOOD,baseline,11.68
R_0IBgnbXoP4Uvvhv,SHOES,treatment,17.83
R_0InTWTWokrqzy3n,ELECTRONIC_CABLE,baseline,11.99
R_0InTWTWokrqzy3n,PET_FOOD,baseline,15.36
R_0InTWTWokrqzy3n,SHIRT,baseline,12.99
R_0InTWTWokrqzy3n,SHIRT,treatment,13.99
R_0MwMIcbYO11SOwV,COFFEE,baseline,29.25
R_0MwMIcbYO11SOwV,COFFEE,treatment,51.15
R_0c8VclJcriEXQqZ,ELECTRONIC_CABLE,baseline,38.98
R_0c8VclJcriEXQqZ,SHOES,baseline,52.99
R_0c8VclJcriEXQqZ,VITAMIN,treatment,15.95
R_0dNGfZ4GvtFvxu1,ELECTRONIC_CABLE,baseline,7.41
R_0dgKWjG8E9DtkfD,ELECTRONIC_CABLE,treatment,4.99
R_0exEFdj5YTDEgqB,ELECTRONIC_CABLE,baseline,6.99
R_0f8u2tSB99LkgCt,CELLULAR_PHONE_CASE,baseline,9.99
R_0f8u2tSB99LkgCt,PET_FOOD,treatment,11.61
R_0f8u2tSB99LkgCt,PROTECTIVE_GLOVE,treatment,13.84
R_0f8u2tSB99LkgCt,VITAMIN,baseline,12.59
R_0ik28Zx98AWSuWd,ELECTRONIC_CABLE,baseline,8.99
R_0ik28Zx98AWSuWd,PET_FOOD,baseline,63.970000000000006
R_0ik28Zx98AWSuWd,SHOES,baseline,69.96000000000001
R_0ik28Zx98AWSuWd,VITAMIN,treatment,14.97
R_0jFt3K3i4558lbj,SHOES,baseline,130.0
R_0jQnZy5LLMrxEsN,ELECTRONIC_CABLE,treatment,14.99
R_0jQnZy5LLMrxEsN,PET_FOOD,baseline,15.82
R_0oBzc3D8v94kGiZ,ELECTRONIC_CABLE,baseline,9.99
R_0pRmRjHkwStzNQJ,ELECTRONIC_CABLE,baseline,9.85
R_0pRmRjHkwStzNQJ,PET_FOOD,baseline,43.8
R_0pRmRjHkwStzNQJ,SHOES,baseline,27.18
R_0pRmRjHkwStzNQJ,SHOES,treatment,27.18
R_0pwPNbvgpZlir2V,CELLULAR_PHONE_CASE,baseline,22.99
R_0rLOCyUSUep8Gyd,SCREEN_PROTECTOR,treatment,5.49
R_10AYiyZ8qGWd6td,CELLULAR_PHONE_CASE,treatment,29.97
R_10AtO7bUfe8iWYK,VITAMIN,baseline,14.54
R_10CAlrx7dbJty9R,ELECTRONIC_CABLE,baseline,6.44
R_10CAlrx7dbJty9R,ELECTRONIC_CABLE,treatment,5.99
R_10CAlrx7dbJty9R,PET_FOOD,baseline,22.58
R_10CAlrx7dbJty9R,PROTECTIVE_GLOVE,treatment,25.26
R_10CAlrx7dbJty9R,SCREEN_PROTECTOR,baseline,9.96
R_10CAlrx7dbJty9R,SKIN_CLEANING_AGENT,treatment,15.3
R_10SesRyoFJEe0pe,PLANTER,treatment,14.99
R_10TA7pCDmelHi5H,VITAMIN,baseline,21.21
R_10TA7pCDmelHi5H,VITAMIN,treatment,7.5
R_10TV1zyi4yCEEkl,ADHESIVE_TAPES,baseline,6.14
R_10TV1zyi4yCEEkl,ADHESIVE_TAPES,treatment,5.64
R_10TV1zyi4yCEEkl,ELECTRONIC_CABLE,baseline,12.35
R_10TV1zyi4yCEEkl,SHIRT,treatment,42.56
R_10TV1zyi4yCEEkl,SKIN_CLEANING_AGENT,treatment,6.99
R_10TV1zyi4yCEEkl,VITAMIN,baseline,7.41
R_10UIzdrJBjoXiRu,ADHESIVE_TAPES,treatment,6.38
R_10UIzdrJBjoXiRu,COFFEE,treatment,19.4
R_10UIzdrJBjoXiRu,HERB,treatment,9.89
R_10UIzdrJBjoXiRu,SHIRT,baseline,14.5
R_10VEwmndSsl39vM,PROTECTIVE_GLOVE,treatment,9.99
R_10VEwmndSsl39vM,SCREEN_PROTECTOR,treatment,9.99
R_10VPzfUmqBTJEiC,SHIRT,treatment,25.89
R_10YnFpDzlwQlmrX,CELLULAR_PHONE_CASE,treatment,13.99
R_10YnFpDzlwQlmrX,PROTECTIVE_GLOVE,treatment,11.45
R_10qrHohvVyRhmA4,FRUIT,treatment,1.99
R_10qrHohvVyRhmA4,SKIN_CLEANING_AGENT,treatment,35.94
R_10r2RIJOCZFOra8,ELECTRONIC_CABLE,baseline,7.49
R_10r2RIJOCZFOra8,PET_FOOD,baseline,19.84
R_10uU7A3PqkL1i0o,CELLULAR_PHONE_CASE,baseline,23.98
R_10wSqGFumZGSTmH,COFFEE,treatment,13.99
R_10wSqGFumZGSTmH,HERB,treatment,8.99
R_117LDoOnJxdPvkb,VITAMIN,treatment,22.99
R_11Y3ZtLQrhccXC7,ELECTRONIC_CABLE,baseline,18.46
R_11Y3ZtLQrhccXC7,ELECTRONIC_CABLE,treatment,8.99
R_11cJ3be1pQV32hb,VITAMIN,baseline,16.99
R_11cp7qScmrrE4EF,ELECTRONIC_CABLE,baseline,8.99
R_11gymhOPZz4baOa,DISHWASHER_DETERGENT,baseline,19.99
R_11gymhOPZz4baOa,DISHWASHER_DETERGENT,treatment,19.99
R_11hGWSRiBd8HPmC,SAUCE,baseline,2.44
R_11hGWSRiBd8HPmC,SHIRT,baseline,7.98
R_11hGWSRiBd8HPmC,SKIN_CLEANING_AGENT,baseline,11.42
R_11hGWSRiBd8HPmC,TOILET_PAPER,baseline,22.450000000000003
