source,category_path,depth,unified_level_1,unified_level_2,unified_level_3,unified_level_4,unified_level_5
amazon,clothing shoe jewelry > woman fashion > woman shop > maternity > maternity sleepwear,5,clothing,woman,shop,,
amazon,beauty personal care > foot hand nail care product > hand foot nail tool > nail cleaning brush,4,beauty,nail,hand,,
amazon,health household > health care product > first aid supply > itching rash treatment > poison ivy treatment,5,beauty,product,first,,
amazon,pet supply > horse supply > horse grooming bathing supply > horse care coat care,4,supply,horse,care,,
amazon,book > science math > behavioral science > cognitive psychology,4,book,science,behavioral,,
amazon,automotive > car care > exterior care product > cleaner,4,part,care,exterior,,
amazon,book > history > american history > south american history > peru history,5,book,history,american,,
amazon,tool home improvement > pump plumbing equipment > faucet part > faucet spray hose,4,home,fixture,faucet,spray,
amazon,book > law > law specialty > sport law,4,book,law,specialty,,
amazon,industrial scientific > lab scientific product > life science supply,3,industrial | office,laboratory,life,,
amazon,book > history > american history > united state history > u.s. revolution founding history,5,book,history,american,,
amazon,grocery gourmet food > snack food > snack food salsa dip spread,3,food,snack,salsa | seaweed,,
amazon,book > science math > biological science > biology > developmental biology,5,book,science,biological,,
amazon,pet supply > dog supply > dog grooming supply > dog shower bath accessory > professional dog bathtub,5,supply,dog,grooming,,
amazon,office product > office school supply > writing supply correction supply > pen pen refill > bottled pen ink,5,industrial | office,supply | instrument | filing,accessory | mail | organizer | writing | label,pen,
amazon,industrial scientific > professional medical supply > surgical supply > wound closure > skin adhesive,5,industrial | office,supply,surgical,,
amazon,automotive > automotive replacement part > automotive replacement bearing seal > automotive replacement seal > automotive replacement spindle hub seal,5,part,automotive,replacement,seal,
amazon,industrial scientific > lab scientific product > glassware labware > lab microplates,4,industrial | office,laboratory,glassware,,
amazon,automotive > car care > exterior care product > car wash equipment > car washing applicator,5,part,care,exterior,,
amazon,book > business money > industry > energy mining industry > oil energy industry,5,book,business,industry,,
amazon,industrial scientific > material handling product > pulling lifting > chain rope fitting > wire rope crimping loop sleeve,5,industrial | office,product | material,lifting,,
amazon,video game > xbox one game console accessory > xbox one accessory > xbox one battery charger > xbox one battery charger set,5,toy | baby,accessory,xbox,,
amazon,home kitchen > vacuum cleaner floor care > steam cleaner steam mop accessory > steam cleaner steam mop replacement part,4,home,vacuum,,,
amazon,cd vinyl > music style > broadway vocalist,3,instrument | vinyl,music,broadway,,
amazon,clothing shoe jewelry > girl fashion > girl jewelry > girl necklace > girl chain necklace,5,clothing,girl,jewelry,,
amazon,tool home improvement > building supply > building material > raw building material > concrete,5,home,hardware,material,raw,
amazon,industrial scientific > filtration > compressed air filtration > compressed air filter regulator lubricator > compressed air regulator,5,industrial | office,filtration,compressed,,
amazon,sport outdoors > sport fan shop > sport fan clothing accessory > sport fan cap hat,4,sporting,sport,fan,,
amazon,tool home improvement > power tool hand tool > power tool part accessory > power rotary tool part accessory > power rotary tool attachment,5,home,tool,power | hand,rotary,
amazon,art craft sewing > painting drawing art supply > art drawing supply > artist drawing medium > drawing charcoal,5,art,supply,drawing,,
amazon,tool home improvement > safety security > personal protective equipment safety gear > head protection equipment > hard hat accessory,5,home,safety,equipment,,
amazon,beauty personal care > hair care product > hair styling accessory > fashion headband,4,beauty,hair,styling,,
amazon,toy game > learning education toy > reading writing development toy > learning education handwriting aid,4,toy | baby,play | game | outdoor | accessory | sport,reading,,
amazon,video game > legacy system > playstation 3 game console accessory > playstation 3 accessory > playstation 3 memory,5,toy | baby,system,playstation,,
amazon,movie tv > specialty store > custom store > dvd custom store > showtime,5,book,store,custom,,
amazon,office product > office school supply > writing supply correction supply > technical drawing supply > protractor,5,industrial | office,supply | instrument | filing,accessory | mail | organizer | writing | label,technical,
amazon,book > business money > industry > restaurant food industry,4,book,business,industry,,
amazon,electronics > camera photo > camera photo accessory > telescope microscope accessory > microscope accessory,5,hardware | electronics,camera,accessory,,
amazon,pet supply > dog supply > dog feeding watering supply > dog bowl dish > dog bowl,5,supply,dog,feeding,,
amazon,industrial scientific > retail store fixture equipment > retail shelving wall display > gridwall fixture > gridwall panel unit,5,industrial | office,equipment,,,
