unified_level_1,unified_level_2,unified_level_3,unified_level_4,unified_level_5
art,beading,,,
art,event,,,
art,hobby,accessory,music,
art,hobby,accessory,percussion,
art,hobby,accessory,woodwind,
art,hobby,collectible,weapon,
art,hobby,collectible,,
art,hobby,craft,accessory,
art,hobby,craft,crafting,adhesive
art,hobby,craft,crafting,embossing
art,hobby,craft,crafting,fiber
art,hobby,craft,crafting,glue
art,hobby,craft,crafting,machine
art,hobby,craft,crafting,needle
art,hobby,craft,crafting,paper | paint
art,hobby,craft,crafting,pin
art,hobby,craft,crafting,pottery
art,hobby,craft,crafting,sewing
art,hobby,craft,crafting,shape
art,hobby,craft,crafting,wire
art,hobby,craft,crafting,
art,hobby,craft,kit,candle
art,hobby,craft,kit,drawing
art,hobby,craft,kit,fabric
art,hobby,craft,kit,incense
art,hobby,craft,kit,jewelry
art,hobby,craft,kit,mosaic
art,hobby,craft,kit,needlecraft | toy
art,hobby,craft,kit,scrapbooking
art,hobby,craft,material,
art,hobby,craft,mold,
art,hobby,craft,pattern,
art,hobby,craft,tool,cutting
art,hobby,craft,tool,decoration | textile
art,hobby,craft,tool,measuring
art,hobby,craft,tool,thimble
art,hobby,craft,tool,
art,hobby,craft,,
art,hobby,homebrewing,,
art,hobby,instrument,brass,
art,hobby,instrument,string,
art,hobby,instrument,,
art,hobby,juggling,,
art,hobby,magic,,
art,hobby,model,,
art,hobby,musical,electronic,
art,hobby,musical,instrument,
art,hobby,musical,percussion,
art,hobby,musical,tom,
art,hobby,musical,woodwind,
art,hobby,musical,,
art,jewelry,beading,,
art,jewelry,making,,
art,knitting,,,
art,material,,,
art,model,,,
art,needlecraft,,,
art,party,award,,
art,party,gift,,
art,party,pom,,
art,party,special,,
art,party,supply,,
art,party,trophy,,
art,scrapbooking,,,
art,sewing,machine,,
art,sewing,notion,,
art,sewing,quilting,,
art,sewing,thread,,
art,sewing,trim,,
art,sewing,,,
art,supply,artist,,
art,supply,candle,,
art,supply,canvas,,
art,supply,ceramic,,
art,supply,craft,,
art,supply,drawing,,
art,supply,leathercraft,,
art,supply,paper,,
art,supply,pottery,,
art,supply,stained,,
art,supply,suncatcher,,
art,supply,wood,,
art,supply,,,
beauty,care,accessibility,equipment,
beauty,care,accessibility,furniture,
beauty,care,accessibility,walking,
beauty,care,acupuncture,,
beauty,care,aid,eye | travel,
beauty,care,aid,snoring,
beauty,care,aid,white,
beauty,care,aid | medical | bed | condom | conductivity,,
beauty,care,anti,,
beauty,care,child,,
beauty,care,cosmetic,bath,additive
beauty,care,cosmetic,bath,adult
beauty,care,cosmetic,bath,bar
beauty,care,cosmetic,bath,body
beauty,care,cosmetic,bath,brush
beauty,care,cosmetic,bath,hand
beauty,care,cosmetic,bath,shower
beauty,care,cosmetic,bath,sponge
beauty,care,cosmetic,bath,
beauty,care,cosmetic,makeup,body | face
beauty,care,cosmetic,makeup,costume
beauty,care,cosmetic,makeup,eye
beauty,care,cosmetic,makeup,finishing
beauty,care,cosmetic,makeup,lip
beauty,care,cosmetic,makeup,
beauty,care,cosmetic,nail,art
beauty,care,cosmetic,nail,false
beauty,care,cosmetic,nail,manicure
beauty,care,cosmetic,nail,polish
beauty,care,cosmetic,nail,
