source,category_path,depth,unified_level_1,unified_level_2,unified_level_3,unified_level_4,unified_level_5
amazon,clothing shoe jewelry > woman fashion > woman shop > maternity > maternity sleepwear,5,,,,,
amazon,beauty personal care > foot hand nail care product > hand foot nail tool > nail cleaning brush,4,beauty,,,,
amazon,health household > health care product > first aid supply > itching rash treatment > poison ivy treatment,5,beauty,,first,,
amazon,pet supply > horse supply > horse grooming bathing supply > horse care coat care,4,,,,,
amazon,book > science math > behavioral science > cognitive psychology,4,book,science | business | law | medical,biological | nature | agricultural,cognitive,
amazon,automotive > car care > exterior care product > cleaner,4,,,exterior,,
amazon,book > history > american history > south american history > peru history,5,book,,,,
amazon,tool home improvement > pump plumbing equipment > faucet part > faucet spray hose,4,,,,,
amazon,book > law > law specialty > sport law,4,book,science | business | law | medical,legal | criminal | constitutional | specialty | environmental,,
amazon,industrial scientific > lab scientific product > life science supply,3,hardware | electronics | industrial,supply | laboratory,,,
amazon,book > history > american history > united state history > u s revolution founding history,5,book,,,,
amazon,grocery gourmet food > snack food > snack food salsa dip spread,3,,,,,
amazon,book > science math > biological science > biology > developmental biology,5,book,science | business | law | medical,biological | nature | agricultural,,
amazon,pet supply > dog supply > dog grooming supply > dog shower bath accessory > professional dog bathtub,5,,,,,
amazon,office product > office school supply > writing supply correction supply > pen pen refill > bottled pen ink,5,hardware | electronics | industrial,office | supply,accessory | mail | organizer | writing | label,pen,
amazon,industrial scientific > professional medical supply > surgical supply > wound closure > skin adhesive,5,hardware | electronics | industrial,supply | laboratory,,wound,
amazon,automotive > automotive replacement part > automotive replacement bearing seal > automotive replacement seal > automotive replacement spindle hub seal,5,,,,,
amazon,industrial scientific > lab scientific product > glassware labware > lab microplates,4,hardware | electronics | industrial,supply | laboratory,,,
amazon,automotive > car care > exterior care product > car wash equipment > car washing applicator,5,,,exterior,,
amazon,book > business money > industry > energy mining industry > oil energy industry,5,book,science | business | law | medical,investing | industry | economics,energy,
amazon,industrial scientific > material handling product > pulling lifting > chain rope fitting > wire rope crimping loop sleeve,5,hardware | electronics | industrial,product | material | power | component | fastener,lifting | transport | caster,,
amazon,video game > xbox one game console accessory > xbox one accessory > xbox one battery charger > xbox one battery charger set,5,toy | baby,,,,
amazon,home kitchen > vacuum cleaner floor care > steam cleaner steam mop accessory > steam cleaner steam mop replacement part,4,,,,,
amazon,cd vinyl > music style > broadway vocalist,3,instrument | vinyl,,broadway,,
amazon,clothing shoe jewelry > girl fashion > girl jewelry > girl necklace > girl chain necklace,5,,,,,
amazon,tool home improvement > building supply > building material > raw building material > concrete,5,,hardware,,,
amazon,industrial scientific > filtration > compressed air filtration > compressed air filter regulator lubricator > compressed air regulator,5,hardware | electronics | industrial,,compressed,,
amazon,sport outdoors > sport fan shop > sport fan clothing accessory > sport fan cap hat,4,sporting,sport,,,
amazon,tool home improvement > power tool hand tool > power tool part accessory > power rotary tool part accessory > power rotary tool attachment,5,,,,,
amazon,art craft sewing > painting drawing art supply > art drawing supply > artist drawing medium > drawing charcoal,5,,supply,drawing,,
amazon,tool home improvement > safety security > personal protective equipment safety gear > head protection equipment > hard hat accessory,5,,,,,
amazon,beauty personal care > hair care product > hair styling accessory > fashion headband,4,beauty,,,,
amazon,toy game > learning education toy > reading writing development toy > learning education handwriting aid,4,toy | baby,play | game | outdoor | accessory | sport,reading,,
amazon,video game > legacy system > playstation 3 game console accessory > playstation 3 accessory > playstation 3 memory,5,toy | baby,,playstation,,
amazon,movie tv > specialty store > custom store > dvd custom store > showtime,5,book,store,custom,,
amazon,office product > office school supply > writing supply correction supply > technical drawing supply > protractor,5,hardware | electronics | industrial,office | supply,accessory | mail | organizer | writing | label,technical,
amazon,book > business money > industry > restaurant food industry,4,book,science | business | law | medical,investing | industry | economics,restaurant,
amazon,electronics > camera photo > camera photo accessory > telescope microscope accessory > microscope accessory,5,hardware | electronics | industrial,accessory | audio | computer,,microscope,
amazon,pet supply > dog supply > dog feeding watering supply > dog bowl dish > dog bowl,5,,,,,
amazon,industrial scientific > retail store fixture equipment > retail shelving wall display > gridwall fixture > gridwall panel unit,5,hardware | electronics | industrial,supply | laboratory,,,
amazon,industrial scientific > hydraulics pneumatics plumbing > industrial hose nozzle > industrial hose washdown nozzle,4,hardware | electronics | industrial,,,,
amazon,art craft sewing > painting drawing art supply > art drawing supply > calligraphy sumi brush,4,,supply,,,
amazon,toy game > sport outdoor play toy > swimming pool outdoor water toy > outdoor water play sprinkler,4,toy | baby,play | game | outdoor | accessory | sport,pool | product | ball,,
amazon,health household > vitamin dietary supplement > herbal supplement > mucuna pruriens,4,beauty,supplement,,,
amazon,book > religion spirituality > other religion practice sacred text > mysticism,4,book,religion | christian,,,
amazon,toy game > sport outdoor play toy > toy sport product > toy hockey product,4,toy | baby,play | game | outdoor | accessory | sport,pool | product | ball,,
amazon,toy game > sport outdoor play toy > swimming pool outdoor water toy > pool toy > child swim ring,5,toy | baby,play | game | outdoor | accessory | sport,pool | product | ball,child | swimming,
amazon,cd vinyl > music style > soundtrack > movie score,4,instrument | vinyl,,soundtrack,,
amazon,sport outdoors > outdoor recreation > water sport > diving snorkeling equipment > diving package,5,sporting,outdoor,water,diving,
amazon,sport outdoors > outdoor recreation > winter sport equipment > snowboarding equipment > snowboard bag,5,sporting,outdoor,,,
amazon,toy game > game accessory > game accessory > role playing dice,4,toy | baby,play | game | outdoor | accessory | sport,card | dvd | collection | stacking,role,
amazon,grocery gourmet food > fresh produce > fresh vegetable > sea vegetable,4,,,,,
amazon,sport outdoors > sport fitness > airsoft paintball equipment > paintball equipment > paintball marker,5,sporting,,paintball,,
amazon,book > business money > business management leadership > business management,4,book,science | business | law | medical,,,
amazon,home kitchen > kitchen dining > kitchen table linen > disposable table cover > disposable table skirt,5,,,,,
amazon,book > computer technology > operating system > unix operating system > unix dns bind,5,book,,operating,,
amazon,beauty personal care > skin care product > facial skin care product > facial cream moisturizers > facial night cream,5,beauty,,,,
amazon,book > science math > nature ecology > rock mineral,4,book,science | business | law | medical,biological | nature | agricultural,rock,
amazon,cd vinyl > music style > christian gospel > christian accompaniment,4,instrument | vinyl,,,,
amazon,pet supply > dog supply > dog collar harness leash > dog collar > headcollars,5,,dog,,,
amazon,automotive > automotive replacement part > automotive replacement belt hose pulley > automotive replacement hose > automotive replacement air cleaner intake hose,5,,,,,
amazon,book > sport outdoors > field guide > fish field guide,4,book,,,,
amazon,health household > household supply > household cleaning > wood polish care > wood polish,5,beauty,household,,,
amazon,tool home improvement > welding soldering > soldering brazing equipment > soldering gun iron > soldering torch,5,,,,,
amazon,book > business money > business management leadership > project management > technical project management,5,book,science | business | law | medical,,,
amazon,industrial scientific > industrial material > laminate composite raw material > carbon fiber raw material > carbon fiber sheet,5,hardware | electronics | industrial,product | material | power | component | fastener,raw,carbon,
amazon,book > politics social science > social science > library information science > general library information science,5,book,science | business | law | medical,social,library,
amazon,book > travel > australian south pacific travel > australia travel guide,4,book,travel,australian,,
