unified_level_1,unified_level_2,unified_level_3,unified_level_4,unified_level_5
beauty,care | makeup,bath,bomb,
beauty,care | makeup,bath,bubble,
beauty,care | makeup,bath,deodorant,
beauty,care | makeup,bath,salt,
beauty,care | makeup,bath,soap,
beauty,care | makeup,bath,,
beauty,care | makeup,foot,,
beauty,care | makeup,lip | face | eye,alphabet,
beauty,care | makeup,lip | face | eye,blush,
beauty,care | makeup,lip | face | eye,bronzers,
beauty,care | makeup,lip | face | eye,concealers,
beauty,care | makeup,lip | face | eye,eyebrow,
beauty,care | makeup,lip | face | eye,eyeliner | shadow,
beauty,care | makeup,lip | face | eye,false,
beauty,care | makeup,lip | face | eye,foundation,
beauty,care | makeup,lip | face | eye,gloss | lipstick,
beauty,care | makeup,lip | face | eye,lash,
beauty,care | makeup,lip | face | eye,mascara,
beauty,care | makeup,lip | face | eye,plumpers,
beauty,care | makeup,lip | face | eye,powder,
beauty,care | makeup,lip | face | eye,,
beauty,care | makeup,nail,artificial,
beauty,care | makeup,nail,polish,
beauty,care | makeup,nail,,
beauty,care | makeup,skin,,
beauty,care | makeup,temporary,,
beauty,care | makeup,,acne,
beauty,care | makeup,,cleanser,
beauty,care | makeup,,exfoliators,
beauty,care | makeup,,facial,
beauty,care | makeup,,lightening,
beauty,care | makeup,,lip,
beauty,care | makeup,,lotion,
beauty,care | makeup,,medicated,
beauty,care | makeup,,remover,
beauty,care | makeup,,straightening,
beauty,care | makeup,,styling,
beauty,care | makeup,,,
beauty,fragrance,,,
beauty,household,,,
beauty,sexual,,,
beauty,supplement,herbal,,
beauty,supplement,mineral,,
beauty,supplement,nutritional,,
beauty,supplement,vitamin,,
beauty,supplement,,,
beauty,wellness,,,
beauty,,accessibility,walking,
beauty,,accessibility,,
beauty,,acupuncture,,
beauty,,aid,,
beauty,,aid | medical | bed | condom | conductivity,,
beauty,,care | first | massage,,
beauty,,cosmetic,perfume,
beauty,,cosmetic,,anti
beauty,,cosmetic,,makeup
beauty,,cosmetic,,manicure
beauty,,cosmetic,,petroleum
beauty,,cosmetic,,sunscreen
beauty,,cosmetic,,tanning
beauty,,cosmetic,,wart
beauty,,cosmetic,,
beauty,,cotton,,
beauty,,diabetic,,
beauty,,ear,drop,
beauty,,ear,earplug,
beauty,,ear,pick,
beauty,,ear,syrinx,
beauty,,ear,wax,
beauty,,ear,,
beauty,,feminine,,
beauty,,first,,
beauty,,incontinence,,
beauty,,massage,chair,
beauty,,massage,massager,
